text,label
Pouvez-vous me traduire cette phrase en allemand : «Où est la gare la plus proche ?»,translate
Je voudrais savoir comment dire «Bonjour» en chinois,translate
Quel est le mot allemand pour «merci» ?,translate
"J'ai besoin de traduire cette phrase en japonais : «Excusez-moi, où puis-je trouver un distributeur automatique ?»",translate
Comment dit-on «Je suis perdu» en espagnol ?,translate
Je souhaite savoir comment dire «Avez-vous des recommandations pour un bon restaurant ?» en italien,translate
Pouvez-vous traduire cette phrase en russe : «Je voudrais réserver une chambre pour une nuit»,translate
Quel est le mot en portugais pour «plage» ?,translate
Je voudrais connaître la traduction en français de ce mot : «Montagne»,translate
"Comment dit-on «Excusez-moi, pourriez-vous me prendre en photo ?» en mandarin ?",translate
Pouvez-vous me traduire cette phrase en arabe : «Je cherche un endroit pour acheter des souvenirs»,translate
Je voudrais savoir comment dire «Je suis allergique aux noix» en anglais,translate
Quel est le mot italien pour «musée» ?,translate
J'ai besoin de traduire cette phrase en coréen : «Pouvez-vous me recommander un bon hôtel ?»,translate
"Comment dit-on «Excusez-moi, où se trouve la station de métro la plus proche ?» en espagnol ?",translate
Pouvez-vous traduire cette phrase en allemand : «Où puis-je trouver un bon restaurant ?»,translate
Quel est le mot en japonais pour «plage» ?,translate
Je voudrais connaître la traduction en italien de ce mot : «Billet»,translate
"Comment dit-on «Excusez-moi, pourriez-vous me donner des indications pour aller à l'aéroport ?» en français ?",translate
Pouvez-vous me traduire cette phrase en russe : «Je voudrais réserver une voiture pour une semaine»,translate
Quel est le mot en portugais pour «parc» ?,translate
Je voudrais savoir comment dire «Je suis perdu» en allemand,translate
J'ai besoin de traduire cette phrase en chinois : «Pouvez-vous me recommander des sites touristiques à visiter ?»,translate
"Comment dit-on «Excusez-moi, où puis-je trouver un bureau de change ?» en italien ?",translate
Pouvez-vous traduire cette phrase en anglais : «Je cherche un bon restaurant pour dîner»,translate
Quel est le mot en espagnol pour «montagne» ?,translate
Je voudrais connaître la traduction en français de ce mot : «Plage»,translate
"Comment dit-on «Excusez-moi, pouvez-vous m'indiquer où se trouve l'office de tourisme ?» en mandarin ?",translate
Pouvez-vous me traduire cette phrase en arabe : «Je voudrais réserver une excursion d'une journée»,translate
Je voudrais savoir comment dire «Je suis allergique au gluten» en anglais,translate
Quel est le mot italien pour «parc» ?,translate
J'ai besoin de traduire cette phrase en coréen : «Où est la gare la plus proche ?»,translate
"Comment dit-on «Excusez-moi, où puis-je trouver un distributeur automatique ?» en espagnol ?",translate
Pouvez-vous traduire cette phrase en allemand : «Pouvez-vous m'indiquer où je peux trouver un bon restaurant ?»,translate
Quel est le mot en japonais pour «musée» ?,translate
Je voudrais connaître la traduction en italien de ce mot : «Billet d'avion»,translate
"Comment dit-on «Excusez-moi, pourriez-vous me recommander un bon hôtel ?» en français ?",translate
Pouvez-vous me traduire cette phrase en russe : «Combien coûte une chambre pour une nuit ?»,translate
Quel est le mot en portugais pour «musée» ?,translate
Je voudrais savoir comment dire «J'ai besoin d'aide» en allemand,translate
J'ai besoin de traduire cette phrase en chinois : «Est-ce que vous parlez anglais ?»,translate
"Comment dit-on «Excusez-moi, comment puis-je me rendre à la plage ?» en italien ?",translate
Pouvez-vous traduire cette phrase en anglais : «Je cherche un bon hôtel pour mon séjour»,translate
Quel est le mot en espagnol pour «parc national» ?,translate
Je voudrais connaître la traduction en français de ce mot : «Musée»,translate
"Comment dit-on «Excusez-moi, pouvez-vous me prendre en photo ?» en mandarin ?",translate
Pouvez-vous me traduire cette phrase en arabe : «Où puis-je trouver un bon restaurant ?»,translate
Je voudrais savoir comment dire «Je suis végétarien» en anglais,translate
Quel est le mot italien pour «parc national» ?,translate
J'ai besoin de traduire cette phrase en coréen : «Où puis-je acheter des souvenirs ?»,translate
"Comment dit-on «Excusez-moi, pouvez-vous m'indiquer où se trouve la station de métro la plus proche ?» en espagnol ?",translate
Pouvez-vous traduire cette phrase en allemand : «Est-ce que vous avez des recommandations pour des sites touristiques ?»,translate
Quel est le mot en japonais pour «parc national» ?,translate
Je voudrais connaître la traduction en italien de ce mot : «Aéroport»,translate
"Comment dit-on «Excusez-moi, je cherche l'office de tourisme. Pouvez-vous m'aider ?» en français ?",translate
Pouvez-vous me traduire cette phrase en russe : «Pouvez-vous réserver un taxi pour moi ?»,translate
Quel est le mot en portugais pour «restaurant» ?,translate
Je voudrais savoir comment dire «Je suis perdu» en allemand,translate
J'ai besoin de traduire cette phrase en chinois : «Pouvez-vous me recommander un bon hôtel ?»,translate
"Comment dit-on «Excusez-moi, où puis-je trouver un bureau de change ?» en italien ?",translate
Pouvez-vous traduire cette phrase en anglais : «Pouvez-vous me donner des indications pour aller au musée ?»,translate
Quel est le mot en espagnol pour «plage» ?,translate
Je voudrais connaître la traduction en français de ce mot : «Parc national»,translate
"Comment dit-on «Excusez-moi, pouvez-vous m'indiquer où se trouve l'office de tourisme ?» en mandarin ?",translate
Pouvez-vous me traduire cette phrase en arabe : «Pouvez-vous réserver une excursion d'une journée ?»,translate
Je voudrais savoir comment dire «Je suis végétalien» en anglais,translate
Quel est le mot italien pour «parc national» ?,translate
J'ai besoin de traduire cette phrase en coréen : «Où puis-je trouver un distributeur automatique ?»,translate
"Comment dit-on «Excusez-moi, pouvez-vous me donner des indications pour aller à l'aéroport ?» en espagnol ?",translate
Pouvez-vous traduire cette phrase en allemand : «Où puis-je trouver un bon restaurant ?»,translate
Quel est le mot en japonais pour «plage» ?,translate
Je voudrais connaître la traduction en italien de ce mot : «Vol»,translate
"Comment dit-on «Excusez-moi, pourriez-vous me prendre en photo ?» en français ?",translate
Pouvez-vous me traduire cette phrase en russe : «Est-ce qu'il y a un bureau de change à proximité ?»,translate
Quel est le mot en portugais pour «billet» ?,translate
Y a-t-il des alertes de voyage pour la Thaïlande,travel_alert
Existe-t-il des restrictions de voyage pour le Mexique,travel_alert
Je voudrais savoir s'il y a une alerte de voyage pour le Brésil,travel_alert
Est-ce que je devrais être au courant des alertes de voyage pour l'Espagne,travel_alert
Y a-t-il des avertissements de voyage pour la Grèce,travel_alert
Quelles sont les alertes de voyage pour l'Italie,travel_alert
Suis-je concerné par une alerte de voyage pour la Chine,travel_alert
Existe-t-il des avertissements de voyage pour l'Égypte,travel_alert
Est-il sûr de voyager en Inde en ce moment,travel_alert
Y a-t-il des alertes de voyage pour le Canada,travel_alert
Est-ce que je devrais prendre en compte les avertissements de voyage pour le Japon,travel_alert
Parlez-moi des alertes de voyage pour l'Australie,travel_alert
Quelles sont les alertes de voyage pour la France,travel_alert
Existe-t-il des restrictions de voyage pour l'Indonésie,travel_alert
Suis-je concerné par une alerte de voyage pour le Royaume-Uni,travel_alert
Y a-t-il des avertissements de voyage pour les États-Unis,travel_alert
Est-il sûr de se rendre en Argentine,travel_alert
Y a-t-il des alertes de voyage pour la Turquie,travel_alert
Existe-t-il des avertissements de voyage pour la Malaisie,travel_alert
Je voudrais savoir s'il y a une alerte de voyage pour la Colombie,travel_alert
Est-ce que je devrais être au courant des alertes de voyage pour la Nouvelle-Zélande,travel_alert
Y a-t-il des alertes de voyage pour la Russie,travel_alert
Existe-t-il des restrictions de voyage pour les Bahamas,travel_alert
Est-il sûr de voyager au Costa Rica en ce moment,travel_alert
Y a-t-il des avertissements de voyage pour la Thaïlande,travel_alert
Quelles sont les alertes de voyage pour le Brésil,travel_alert
Suis-je concerné par une alerte de voyage pour l'Espagne,travel_alert
Existe-t-il des avertissements de voyage pour la Grèce,travel_alert
Est-ce que je devrais prendre en compte les alertes de voyage pour l'Italie,travel_alert
Y a-t-il des alertes de voyage pour la Chine,travel_alert
Parlez-moi des avertissements de voyage pour l'Égypte,travel_alert
Est-il sûr de voyager en Inde en ce moment,travel_alert
Y a-t-il des alertes de voyage pour le Canada,travel_alert
Existe-t-il des avertissements de voyage pour le Japon,travel_alert
Quelles sont les alertes de voyage pour l'Australie,travel_alert
Suis-je concerné par une alerte de voyage pour la France,travel_alert
Est-ce que je devrais prendre en compte les restrictions de voyage pour l'Indonésie,travel_alert
Y a-t-il des avertissements de voyage pour le Royaume-Uni,travel_alert
Est-il sûr de voyager aux États-Unis en ce moment,travel_alert
Y a-t-il des alertes de voyage pour l'Argentine,travel_alert
Existe-t-il des avertissements de voyage pour la Turquie,travel_alert
Quelles sont les alertes de voyage pour la Malaisie,travel_alert
Suis-je concerné par une alerte de voyage pour la Colombie,travel_alert
Est-ce que je devrais prendre en compte les alertes de voyage pour la Nouvelle-Zélande,travel_alert
Y a-t-il des alertes de voyage pour la Thaïlande,travel_alert
Existe-t-il des restrictions de voyage pour le Mexique,travel_alert
Je voudrais savoir s'il y a une alerte de voyage pour le Brésil,travel_alert
Est-ce que je devrais être au courant des alertes de voyage pour l'Espagne,travel_alert
Y a-t-il des avertissements de voyage pour la Grèce,travel_alert
Quelles sont les alertes de voyage pour l'Italie,travel_alert
Suis-je concerné par une alerte de voyage pour la Chine,travel_alert
Existe-t-il des avertissements de voyage pour l'Égypte,travel_alert
Est-il sûr de voyager en Inde en ce moment,travel_alert
Y a-t-il des alertes de voyage pour le Canada,travel_alert
Existe-t-il des avertissements de voyage pour le Japon,travel_alert
Parlez-moi des alertes de voyage pour l'Australie,travel_alert
Quelles sont les alertes de voyage pour la France,travel_alert
Suis-je concerné par une alerte de voyage pour l'Indonésie,travel_alert
Est-ce que je devrais prendre en compte les avertissements de voyage pour le Royaume-Uni,travel_alert
Y a-t-il des alertes de voyage pour les États-Unis,travel_alert
Est-il sûr de se rendre en Argentine,travel_alert
Y a-t-il des alertes de voyage pour la Turquie,travel_alert
Existe-t-il des restrictions de voyage pour la Malaisie,travel_alert
Je voudrais savoir s'il y a une alerte de voyage pour la Colombie,travel_alert
Est-ce que je devrais être au courant des alertes de voyage pour la Nouvelle-Zélande,travel_alert
Est-ce que mon vol AB456 est à l'heure,flight_status
Je voudrais savoir si mon vol est retardé,flight_status
Quel est le statut de mon vol LH789,flight_status
Le vol BA321 a-t-il été annulé,flight_status
Pouvez-vous me dire si mon vol est confirmé,flight_status
Je souhaite connaître l'heure d'arrivée de mon vol,flight_status
Y a-t-il des informations sur le vol AZ567,flight_status
Est-ce que mon vol est à l'heure,flight_status
Quand est-ce que mon vol MH987 décolle,flight_status
Veuillez me donner les détails de mon vol,flight_status
Est-ce que mon vol est en retard,flight_status
Je veux savoir si mon vol est confirmé,flight_status
Quand est-ce que mon vol atterrira,flight_status
Pouvez-vous me dire si mon vol est annulé,flight_status
Quel est le statut de mon vol QR234,flight_status
Est-ce que mon vol est toujours programmé,flight_status
Je voudrais connaître l'heure de départ de mon vol,flight_status
Y a-t-il des mises à jour sur le vol EK345,flight_status
Est-ce que mon vol est à l'heure prévue,flight_status
Quand vais-je arriver à ma destination,flight_status
Je souhaite savoir si mon vol est retardé,flight_status
Quand est-ce que mon vol décollera,flight_status
Pouvez-vous me dire si mon vol est retardé,flight_status
Est-ce que mon vol est confirmé pour demain,flight_status
Je veux savoir si mon vol a été annulé,flight_status
Quel est le statut de mon vol TK876,flight_status
Est-ce que mon vol a été retardé,flight_status
Quand est-ce que mon vol arrivera,flight_status
Pouvez-vous me dire si mon vol est maintenu,flight_status
