text;label
Pouvez-vous trouver des vols directs de Londres à Rome ?;book_flight
Où puis-je signaler mes bagages perdus à l'aéroport;lost_luggage
Quelles sont les attractions touristiques populaires à Paris?;travel_suggestion
Pouvez-vous me recommander une compagnie aérienne pour un vol de Tokyo à Séoul?;book_flight
Quels sont les festivals populaires à Berlin;travel_suggestion
Est-ce que je peux prendre mes lunettes de soleil en cabine;carry_on
Quels sont les bons restaurants à Chicago;travel_suggestion
Je cherche des endroits pour vivre une expérience de vie sauvage, pouvez-vous me recommander;travel_suggestion
Réservez un vol aller simple de New York à Las Vegas le 5 août;book_flight
Pouvez-vous me trouver un hôtel avec un parking gratuit à Amsterdam ?;book_hotel
Pouvez-vous me trouver un vol aller-retour de Barcelone à Madrid ?;book_flight
Est-ce que je peux emporter des ciseaux dans mon bagage à main;carry_on
Comment faire pour nettoyer une tache de vin sur un tissu ?;out_of_scope
Quels sont les vols disponibles de Madrid à Barcelone ?;book_flight
Je voudrais connaître l'heure de départ de mon vol;flight_status
Quel est le statut de mon vol TK876;flight_status
À quelle heure dois-je arriver à l'aéroport pour mon vol;flight_status
Puis-je obtenir des informations sur mon vol;flight_status
Je souhaite réserver un vol de Athènes à Berlin pour le mois de février;book_flight
Je suis intéressé par des destinations de ski, où devrais-je aller;travel_suggestion
Mes bagages ont été égarés pendant mon vol avec Singapore Airlines, que dois-je faire pour les retrouver ?;lost_luggage
Je recherche des vols pour Rio de Janeiro au départ de São Paulo;book_flight
Je cherche un hébergement abordable à Paris;book_hotel
Si je vais à Evans, que dois-je faire;travel_suggestion
Comment dit-on «Pourriez-vous recommander un bon restaurant ?» en italien ?;translate
Je prévois un voyage en Asie, quels sont les pays les plus recommandés à découvrir;travel_suggestion
Quel est le meilleur moyen de se débarrasser des fourmis dans ma maison;out_of_scope
Je recherche un vol de Los Angeles à Miami le 25 novembre;book_flight
Je voudrais savoir s'il y a des vols directs de San Francisco à Paris;book_flight
Est-ce que je devrais prendre en compte les alertes de voyage pour la Nouvelle-Zélande;travel_alert
Quels sont les monuments historiques à visiter à Rome;travel_suggestion
Comment dit-on «comment ça s'écrit» en anglais;translate
Quelle est la différence entre un virus et une bactérie ?;out_of_scope
Est-ce que mon vol est à l'heure comme prévu de départ;flight_status
Quels sont les articles interdits dans un bagage à main;carry_on
Quels sont les meilleures destinations pour faire du surf;travel_suggestion
Y a-t-il des alertes de voyage pour le Maroc;travel_alert
J'ai perdu ma valise à l'aéroport de Paris;lost_luggage
Est-ce que mon vol est confirmé pour demain;flight_status
Est-ce sûr de se rendre en Australie;travel_alert
Je suis à la recherche de destinations pour des vacances détente, avez-vous des recommandations;travel_suggestion
Est-ce qu'il y a des alertes de voyage pour la Grèce;travel_alert
Y a-t-il des plages magnifiques à visiter à Hawaï?;travel_suggestion
Je voudrais connaître la traduction en français de ce mot : «Plage»;translate
Est-ce que je peux emporter des produits de beauté dans mon bagage à main;carry_on
Pouvez-vous me dire comment on dit «Je voudrais un billet aller-retour» en français ?;translate
Je souhaite réserver un vol de Athènes à Berlin;book_flight
J'ai besoin d'une chambre d'hôtel pour deux adultes et deux enfants à Los Angeles du 20 au 25 février;book_hotel
Quel est le mot en espagnol pour «plage» ?;translate
Où est la salle d'embarquement pour mon vol;flight_status
Mes bagages sont manquants depuis mon vol avec Etihad Airways, que dois-je faire pour les retrouver ?;lost_luggage
Est-ce que vous pouvez me donner des informations sur la procédure de réclamation pour bagages perdus ?;lost_luggage
J'ai perdu mes bagages lors de mon vol pour New York;lost_luggage
Quel est le mot en portugais pour «restaurant» ?;translate
Je cherche des vols directs de Sydney à Bali;book_flight
Je cherche un hôtel près du quartier des affaires à Singapour;book_hotel
Pouvez-vous me dire comment dire «Je suis allergique aux fruits de mer» en japonais s'il vous plaît ?;translate
Y a-t-il des alertes de voyage concernant l'Espagne;travel_alert
Quand vais-je partir pour mon vol;flight_status
Quelle taille d'essuie-glace cette voiture prend-t-elle;out_of_scope
Pouvez-vous me dire le fuseau horaire à San Francisco;out_of_scope
Quelle est la température de cuisson du poulet ?;out_of_scope
Quels sont les meilleurs festivals à ne pas manquer autour du monde;travel_suggestion
Je suis désespéré sans mes affaires;lost_luggage
Est-ce que mon vol AB456 est à l'heure;flight_status
Sont-il y a des alertes de voyage pour l'Argentine;travel_alert
Existe-t-il des alertes de voyage pour le Japon;travel_alert
Est-ce que je peux emporter des médicaments en sirop en cabine;carry_on
Je veux explorer des sites archéologiques, quelles sont les destinations les plus intéressantes;travel_suggestion
J'ai pris un vol pour Rome mais mes bagages ne sont pas arrivés;lost_luggage
Quand vais-je arriver à ma destination;flight_status
Est-ce que je peux emporter une bouteille d'eau dans mon bagage à main;carry_on
J'ai besoin de réserver un vol aller-retour de Paris à London du 20 septembre au 27 septembre;book_flight
Où puis-je faire une réclamation pour mes bagages perdus ?;lost_luggage
Pouvez-vous me trouver un hôtel avec restaurant à Paris ?;book_hotel
Quel est le meilleur moment pour visiter Paris;out_of_scope
Combien de temps dure le vol entre Paris et New York;out_of_scope
Y a-t-il des alertes de voyage pour le Japon;travel_alert
Comment puis-je perdre du poids rapidement;out_of_scope
Combien de temps faut-il pour se rendre à l'aéroport depuis le centre-ville;flight_status
Pouvez-vous me trouver un hôtel avec restaurant à Paris ?;book_hotel
qui est le personnage le plus effrayant de Start Trek;out_of_scope
Trouvez-moi un vol de Madrid à Lisbonne avec une escale;book_flight
Y a-t-il une alerte de voyage pour le Canada;travel_alert
Quels sont les vols disponibles de Paris à Rome ?;book_flight
Est-ce que je peux apporter mon couteau suisse en bagage à main;carry_on
Je prévois un voyage en Amérique du Sud, quels sont les pays les plus recommandés à découvrir;travel_suggestion
Pouvez-vous me trouver un hôtel abordable à Rome pour le week-end prochain ?;book_hotel
Est-ce que vous pouvez m'aider à réserver un hôtel avec navette aéroport à Cancun ?;book_hotel
Quand est-ce que mon vol UA345 décolle;flight_status
Pouvez-vous me dire si mon vol est annulé;flight_status
Pouvez-vous me trouver un hôtel avec piscine à Sydney ?;book_hotel
Je veux savoir si mon vol est confirmé pour cet après-midi à destination;flight_status
J'ai un problème avec mes bagages, ils ne sont pas arrivés à la destination prévue;lost_luggage
Quel est le meilleur moment pour visiter les chutes du Niagara ?;out_of_scope
Je suis à la recherche de destinations de voyage pour des vacances romantiques, avez-vous des suggestions;travel_suggestion
Quelle est la hauteur de l'Empire State Building ?;out_of_scope
Pouvez-vous me dire si mon vol est annulé ou maintenu pour demain soir;flight_status
Veuillez me recommander des plages en Thaïlande;travel_suggestion
Quel est le score actuel du match de football ?;out_of_scope
Est-ce que vous pouvez me trouver des vols bon marché de Las Vegas à Los Angeles ?;book_flight
Quel est le meilleur moment pour visiter le Grand Canyon;out_of_scope
Je cherche un hôtel près du parc d'attractions à Orlando;book_hotel
Y a-t-il des alertes de voyage concernant l'Indonésie;travel_alert
Existe-t-il des avertissements de voyage pour la Turquie;travel_alert
Je voudrais réserver une chambre familiale à Madrid;book_hotel
Pouvez-vous me donner les horaires des vols de New York à Chicago ?;book_flight
Quand vais-je pouvoir monter à bord de mon vol;flight_status
Quand est-ce que mon vol démarre à l'aéroport demain matin;flight_status
Quand vais-je arriver à l'aéroport;flight_status
Si je vais au Brésil, comment puis-je demander «Où puis-je trouver un bureau de change ?» en portugais ?;translate
Comment faire pour apprendre à coder ?;out_of_scope
Quelles sont les règles pour les cigarettes électroniques en cabine;carry_on
Est-ce que je peux emporter un ordinateur portable dans mon bagage à main;carry_on
Quand est-ce que mon vol MH987 décolle;flight_status
À quelle heure est prévu l'atterrissage de mon vol;flight_status
Suis-je en sécurité pour voyager en Suisse;travel_alert
Est-il sûr de se rendre au Royaume-Uni en ce moment;travel_alert
Quelles sont les alertes de voyage actuelles pour les Etats-Unis;travel_alert
Pouvez-vous me dire si mon vol est annulé ou maintenu pour demain;flight_status
Réservez un vol aller simple de New York à Las Vegas le 5 avril;book_flight
Quelle est la politique de bagages à main pour un vol avec Virgin Atlantic;carry_on
Quelles sont les dimensions acceptables pour le bagage à main;carry_on
Y a-t-il des alertes de voyage concernant l'Argentine;travel_alert
Est-ce qu'il y a des alertes de voyage pour la Grèce;travel_alert
Quelles sont les alertes de voyage pour l'Australie;travel_alert
Est-ce que mon vol est prévu à l'heure de départ demain matin;flight_status
Mon vol est-il à l'heure;flight_status
Est-il sûr de visiter la Thaïlande en ce moment;travel_alert
Veuillez me donner les détails de mon vol AC567;flight_status
Je voudrais connaître l'heure d'arrivée estimée de mon vol pour demain;flight_status
Je prévois un voyage autour du monde, quelles sont les villes incontournables à visiter;travel_suggestion
Existe-t-il des alertes de voyage pour la Grèce;travel_alert
Quelle est la taille maximale pour un bagage à main sur un vol avec Emirates;carry_on
Y a-t-il une limite de poids pour mon bagage à main sur un vol avec United Airlines;carry_on
À quelle heure est prévu l'embarquement pour mon vol;flight_status
Mes valises n'ont pas été livrées à l'aéroport, que dois-je faire;lost_luggage
Quelles sont les meilleures destinations pour un voyage en solo;travel_suggestion
Existe-t-il une alerte de voyage pour la Chine;travel_alert
Je voudrais savoir comment demander un menu en français;translate
Y a-t-il des safaris passionnants à faire en Afrique du Sud?;travel_suggestion
Je recherche des vols pour Buenos Aires au départ de Santiago;book_flight
Est-ce que je peux emporter mon skateboard en cabine;carry_on
Je veux savoir si mon vol est confirmé pour cet après-midi;flight_status
Y a-t-il des précautions à prendre pour voyager en Allemagne;travel_alert
Qu'est-ce que je suis autorisé à prendre en cabine avec American Airlines;carry_on
J'ai perdu mes valises, que dois-je faire pour les retrouver après mon vol pour Pékin ?;lost_luggage
Quelles sont les alertes de voyage actuelles pour les Etats-Unis;travel_alert
Est-ce que vous pouvez m'aider à retrouver mes bagages ?;lost_luggage
Est-ce que je peux prendre mon livre électronique en cabine;carry_on
Je cherche un hôtel avec petit-déjeuner inclus à Berlin;book_hotel
Pouvez-vous me donner des suggestions pour des randonnées en montagne en Suisse?;travel_suggestion
Comment dit-on «Excusez-moi, pouvez-vous m'indiquer où se trouve la station de métro la plus proche ?» en espagnol ?;translate
Quel est le meilleur moment pour visiter les pyramides d'Égypte ?;out_of_scope
Faut-il mettre les liquides dans un sac plastique transparent;carry_on
Suis-je en sécurité pour voyager au Maroc;travel_alert
Y a-t-il des informations sur le vol BA567;flight_status
Je voudrais réserver une chambre d'hôtel pour une nuit à Rome;book_hotel
Est-ce que vous pouvez me trouver des vols bon marché de Las Vegas à Los Angeles ?;book_flight
Je voudrais savoir s'il y a des vols directs de San Francisco à Tokyo;book_flight
Pouvez-vous me trouver un hôtel bien situé à Tokyo ?;book_hotel
Quels objets ne sont pas autorisés en cabine;carry_on
Quels sont les meilleurs parcs nationaux à visiter dans mon pays;travel_suggestion
Quand allons-nous commencer à monter à bord de mon vol prévu;flight_status
Quel est le meilleur film d'horreur de tous les temps ?;out_of_scope
Je souhaite réserver un vol de Paris à Rome pour le mois prochain;book_flight
Suis-je en sécurité pour voyager en Egypte;travel_alert
Je voudrais savoir quels vols sont disponibles sur Sydney à Melbourne le 10 octobre pour moins de 400 $;book_flight
Est-ce que je peux emporter des fruits secs en cabine;carry_on
Je voudrais réserver un vol de Paris à Madrid;book_flight
Je voudrais réserver un hôtel avec parking à San Francisco;book_hotel
Je suis à la recherche de destinations de voyage peu connues, avez-vous des recommandations;travel_suggestion
Quand est-ce que mon vol va-at-il décoller;flight_status
Quels sont les pays avec des avertissements de voyage en Asie;travel_alert
Je viens d'atterrir et mes valises sont introuvables;lost_luggage
Je cherche un hôtel avec une vue sur la mer à Nice;book_hotel
Y a-t-il des alertes de voyage pour l'Afrique du Sud;travel_alert
Je veux découvrir des destinations pour un voyage d'aventure, quelles sont les meilleures;travel_suggestion
Pouvez-vous trouver des vols directs de Londres à Rome ?;book_flight
Y a-t-il des retards sur le vol UA567;flight_status
Comment faire pour nettoyer une tache de vin rouge sur un tapis ?;out_of_scope
Je cherche un hôtel avec petit-déjeuner inclus à Berlin;book_hotel
Est-ce que vous avez des informations sur la localisation de mes bagages perdus avec Delta Airlines ?;lost_luggage
Est-ce que vous pouvez m'aider à retrouver mes bagages égarés ?;lost_luggage
Je vais à Londres pour un voyage d'affaires. Pouvez-vous m'aider à trouver un hôtel près du centre-ville ?;book_hotel
Peut-on emporter des liquides en cabine avec Ryanair;carry_on
Y a-t-il des alertes de voyage pour le Mexique;travel_alert
Suis-je en sécurité pour voyager en Inde;travel_alert
Je suis arrivé à destination mais mes bagages ne sont pas là;lost_luggage
Perte des bagages sur le vol Lufthansa à l'aéroport de Francfort;lost_luggage
Je souhaite réserver un vol de Miami à Cancun pour la semaine prochaine;book_flight
Pouvez-vous me trouver un hôtel avec un restaurant sur place à Berlin ?;book_hotel
Est-ce que je peux emporter des médicaments en cabine;carry_on
Puis-je emporter un sac à dos en cabine;carry_on
Devrais-je être conscient des alertes de voyage pour l'Italie;travel_alert
Je voudrais savoir s'il y a des vols disponibles de Séoul à Tokyo pour le mois de mars;book_flight
Je cherche des endroits pittoresques à photographier à Amsterdam;travel_suggestion
Quel est le numéro du service client de cette entreprise;out_of_scope
Quelles sont les alertes de voyage actuelles pour l'Espagne;travel_alert
Pouvez-vous me recommander un hôtel avec wifi gratuit à New York ?;book_hotel
Quel est le fuseau horaire de Dubaï;out_of_scope
Quels sont les hôtels les mieux notés à Dubaï ?;book_hotel
Je souhaite faire du shopping à l'étranger, où devrais-je aller;travel_suggestion
Quels sont les hôtels les mieux notés à Tokyo;book_hotel
Y a-t-il des attractions touristiques populaires dans cette ville;out_of_scope
Y a-t-il une limite de poids pour mon bagage à main sur un vol avec American Airlines;carry_on
Comment dire «musée» en finnois;translate
Réservez un vol aller simple de Berlin à Athènes;book_flight
Y a-t-il des alertes de voyage pour l'Afrique du Sud;travel_alert
Je souhaite voyager de Vancouver à Toronto en avion;book_flight
Je suis à la recherche d'un safari en Afrique, pouvez-vous m'aider;travel_suggestion
Je cherche un hôtel près du parc Disneyland à Orlando;book_hotel
Je veux partir en safari en Afrique, quelles sont les meilleures destinations;travel_suggestion
Quelles sont les règles concernant les batteries dans les bagages à main;carry_on
Je cherche un hébergement abordable à Bangkok;book_hotel
Je prévois un voyage en Amérique du Sud, quels sont les lieux à voir absolument;travel_suggestion
Je cherche des destinations pour des vacances à la plage, pouvez-vous m'aider;travel_suggestion
Pouvez-vous me traduire cette phrase en russe : «Je voudrais réserver une voiture pour une semaine»;translate
Je voudrais réserver une chambre d'hôtel avec balcon à Barcelone;book_hotel
Puis-je emporter mon casque audio en bagage à main;carry_on
À quelle heure est prévu le décollage de mon vol;flight_status
Je voudrais réserver un billet d'avion pour Rome;book_flight
Combien de bagages à main puis-je prendre sur un vol national;carry_on
Est-ce que je devrais prendre en compte les avertissements de voyage pour la Russie;travel_alert
Quels sont les vols disponibles de Los Angeles à Tokyo ?;book_flight
Je voudrais savoir s'il y a des vols disponibles de Tokyo à Séoul;book_flight
Est-ce qu'il y a des alertes de voyage pour le Vietnam;travel_alert
Réservez une suite de luxe pour deux personnes à New York;book_hotel
Est-ce qu'il y a un bureau des objets trouvés à l'aéroport ?;lost_luggage
Je suis inquiet car mes affaires sont dans ma valise égarée;lost_luggage
Est-il sûr de se rendre en Italie en ce moment;travel_alert
Est-ce que vous pouvez m'indiquer où se trouvent mes bagages perdus suite à mon vol avec United Airlines ?;lost_luggage
Quelles sont les règles pour les bouteilles d'alcool en cabine;carry_on
Je cherche un vol aller simple de Milan à Barcelone pour le week-end prochain;book_flight
Comment dit-on «Excusez-moi, où se trouve la station de métro la plus proche ?» en espagnol ?;translate
Mes bagages sont manquants depuis mon vol avec British Airways;lost_luggage
Je viens de réaliser que mes bagages n'ont pas été déchargés de l'avion, que dois-je faire ?;lost_luggage
Est-il sûr de visiter le Brésil en ce moment;travel_alert
Existe-t-il des restrictions de voyage pour les Bahamas;travel_alert
Comment dit-on «Excusez-moi, où puis-je trouver un distributeur automatique ?» en allemand ?;translate
Je pense que mes bagages ont été perdus;lost_luggage
Quand est-ce que mon vol atterrira à destination;flight_status
Est-ce que mon vol est prévu à l'heure de départ;flight_status
Je cherche un hébergement pour une semaine à Londres;book_hotel
